Id,SubCategoryName,Name
1,Женская одежда,Состояние
2,Женская одежда,Размер
3,Женская одежда,Материал основной части
4,Женская одежда,Цвет
5,Женская одежда,Бренд
6,Женская одежда,Тип платья
7,Женская одежда,Предмет одежды
8,Женская одежда,Стиль
9,Женская обувь,Тип обуви
10,Женская обувь,Размер
11,Женская обувь,Бренд
12,Женская обувь,Материал основной части
13,Мужская одежда,Размер
14,Мужская одежда,Бренд
15,Мужская одежда,Предмет одежды
16,Мужская одежда,Материал основной части
17,Мужская обувь,Тип обуви
18,Мужская обувь,Размер
19,Мужская обувь,Бренд
20,Мужская обувь,Материал основной части
21,"Сумки, рюкзаки и чемоданы",Тип товара
22,"Сумки, рюкзаки и чемоданы",Тип сумки
23,"Сумки, рюкзаки и чемоданы",Бренд
24,"Сумки, рюкзаки и чемоданы",Для кого
25,"Сумки, рюкзаки и чемоданы",Материал
26,"Сумки, рюкзаки и чемоданы",Модель
27,Аксессуары,Тип товара
28,Аксессуары,Бренд
29,Для девочек,Вид одежды
30,Для девочек,Состояние
31,Для девочек,Размер
32,Для девочек,Бренд
33,Для девочек,Тип одежды
34,Для девочек,Утеплитель
35,Для девочек,Особенности
36,Для девочек,Вид обуви
37,Для мальчиков,Размер
38,Для мальчиков,Бренд
39,Для мальчиков,Вид одежды
40,Для мальчиков,Тип одежды
41,Для мальчиков,Тип обуви
42,Для мальчиков,Вид обуви
43,Для мальчиков,Состояние
44,Детские коляски,Вид товара
45,Детские коляски,Тип
46,Детские коляски,Количество детей
47,Детские коляски,Комплектация
48,Детские коляски,Бренд
49,Детская мебель,Тип товара
50,Детская мебель,Тип детской мебели
51,Детская мебель,Доступность
52,Детская мебель,Тип кровати
53,Детская мебель,Каркас
54,Детская мебель,Ширина
55,Детская мебель,Высота
56,Детская мебель,Длина
57,Детская мебель,Ширина спального места
58,Детская мебель,Длина спального места
59,Детская мебель,Что есть у кровати
60,Детская мебель,Цвет
61,Детская мебель,Тип мебели для новорождённых
62,Детская мебель,Система укачивания
63,Детская мебель,Глубина
64,Детская мебель,Что есть у товара
65,Детская мебель,Подтип товара
66,Детская мебель,Режимы укачивания
67,Детская мебель,Бренд
68,Детская мебель,Материал
69,Велосипеды и самокаты,Подвид товара
70,Автомобильные кресла,Подвид товара
71,Автомобильные кресла,Вес
72,Автомобильные кресла,Бренд
73,Игрушки,Подвид товара
74,Игрушки,Тип игрушки
75,Игрушки,Возраст
76,Игрушки,Бренд
77,Игрушки,Персонаж
78,Игрушки,Тематика
79,Приборы и аксессуары,Вид товара
80,Парфюмерия,Вид товара
81,Средства гигиены,Вид товара
82,Косметика,Вид товара
83,Средства для волос,Вид товара
84,Медицинские изделия,Вид товара
85,Другое,Вид товара
86,Ювелирные изделия,Материал
87,Ювелирные изделия,Проба золота
88,Ювелирные изделия,Вставка
89,Ювелирные изделия,Количество камней
90,Ювелирные изделия,Проба серебра
91,Ювелирные изделия,Бренд
92,Ювелирные изделия,Размер кольца
93,Часы,Тип часов
94,Часы,Тип товара
95,Часы,Цвет корпуса
96,Часы,Механизм
97,Часы,Особенности
98,Часы,Для кого
99,Часы,Бренд
100,Часы,Тип ремешка
101,Часы,Тип механизма
102,Бижутерия,Тип товара
